"package","version","hash","package@version","reproducible","analysis","decision-tree","naive-bayes","svm","hash_classifier","","","","","","","","","","","","","","","","","",""
"mcs-utils","2.9999.0","779b3fc09fbeac7fad8d258839a9970b","mcs-utils@2.9999.0","no","malicious","Yes","No","No","Yes","","","","","","","","","","","","","","","","","",""
"mcs-utils","4.9999.0","779b3fc09fbeac7fad8d258839a9970b","mcs-utils@4.9999.0","no","malicious","Yes","No","No","Yes","","","","","","","","","","","","","","","","","",""
"mcs-utils","5.9999.0","779b3fc09fbeac7fad8d258839a9970b","mcs-utils@5.9999.0","no","malicious","Yes","No","No","Yes","","","","","","","","","","","","","","","","","",""
"mcs-utils","6.9999.0","779b3fc09fbeac7fad8d258839a9970b","mcs-utils@6.9999.0","no","malicious","Yes","No","No","Yes","","","","","","","","","","","","","","","","","",""
"mcs-utils","7.9999.0","779b3fc09fbeac7fad8d258839a9970b","mcs-utils@7.9999.0","no","malicious","Yes","No","No","Yes","","","","","","","","","","","","","","","","","",""
"mcs-utils","8.9999.0","779b3fc09fbeac7fad8d258839a9970b","mcs-utils@8.9999.0","no","malicious","Yes","No","No","Yes","","","","","","","","","","","","","","","","","",""
"mcs-utils","9.9999.0","779b3fc09fbeac7fad8d258839a9970b","mcs-utils@9.9999.0","no","malicious","No","No","No","Yes","","","","","","","","","","","","","","","","","",""
"mcs-utils","9999.9999.0","779b3fc09fbeac7fad8d258839a9970b","mcs-utils@9999.9999.0","no","malicious","Yes","No","No","Yes","","","","","","","","","","","","","","","","","",""
"mfc-api","0.0.1","6c78b46585da22564b99d155aa72eaa7","mfc-api@0.0.1","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"nmsdk","1.0.0","7550ea9d7c25b644268ec2351b200f11","nmsdk@1.0.0","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"ptpplay","0.0.0","29899833486a69a53c373a3bb99da55b","ptpplay@0.0.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"pulsar-flex","1.0.0-beta.0","6122cc60c0df0b465d90fa8b35083e20","pulsar-flex@1.0.0-beta.0","yes","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"puppeteer-extra-plugin-portal","3.0.0-rc.1","f1ce1af9ae0dce526984f9021dbe8828","puppeteer-extra-plugin-portal@3.0.0-rc.1","no","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"react-hook-aggregate","1.1.3","14d48bd48070e3fc82b1164a246cbb15","react-hook-aggregate@1.1.3","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"taf-three-dimensional-view","1.0.0","282fb470bf2829c7e8db19b6b2841083","taf-three-dimensional-view@1.0.0","no","malicious","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"test-package-joky","1.0.0","487e4432d2146fa210e1c6f3c0a44077","test-package-joky@1.0.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"web-node-builder","0.0.1","f8a7872758bb48a39ed61b0f1abbb982","web-node-builder@0.0.1","no","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
