"package","version","hash","package@version","reproducible","analysis","decision-tree","naive-bayes","svm","hash_classifier","","","","","","","","","","","","","","","","","",""
"@amarismail522/sirqasim","1.0.0","5ca25ebe2fb622712b1a9c13c7485d7d","@amarismail522/sirqasim@1.0.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"@bevry/github-repos","6.0.0","27f329f69a97e7795e4e0c8b133dab0c","@bevry/github-repos@6.0.0","yes","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"@chrissybarrett/extra-filters","1.0.0","9bfc24930ef5b206f95e05691cd24b26","@chrissybarrett/extra-filters@1.0.0","yes","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"@corporate/core","2.9999.0","779b3fc09fbeac7fad8d258839a9970b","@corporate/core@2.9999.0","no","malicious","Yes","No","No","Yes","","","","","","","","","","","","","","","","","",""
"@corporate/core","3.9999.0","779b3fc09fbeac7fad8d258839a9970b","@corporate/core@3.9999.0","no","malicious","Yes","No","No","Yes","","","","","","","","","","","","","","","","","",""
"@corporate/core","4.9999.0","779b3fc09fbeac7fad8d258839a9970b","@corporate/core@4.9999.0","no","malicious","Yes","No","No","Yes","","","","","","","","","","","","","","","","","",""
"@corporate/core","5.9999.0","779b3fc09fbeac7fad8d258839a9970b","@corporate/core@5.9999.0","no","malicious","Yes","No","No","Yes","","","","","","","","","","","","","","","","","",""
"@corporate/core","6.9999.0","779b3fc09fbeac7fad8d258839a9970b","@corporate/core@6.9999.0","no","malicious","Yes","No","No","Yes","","","","","","","","","","","","","","","","","",""
"@corporate/core","7.9999.0","779b3fc09fbeac7fad8d258839a9970b","@corporate/core@7.9999.0","no","malicious","Yes","No","No","Yes","","","","","","","","","","","","","","","","","",""
"@corporate/core","8.9999.0","779b3fc09fbeac7fad8d258839a9970b","@corporate/core@8.9999.0","no","malicious","Yes","No","No","Yes","","","","","","","","","","","","","","","","","",""
"@corporate/core","9.9999.0","779b3fc09fbeac7fad8d258839a9970b","@corporate/core@9.9999.0","no","malicious","No","No","No","Yes","","","","","","","","","","","","","","","","","",""
"@corporate/core","9999.9999.0","779b3fc09fbeac7fad8d258839a9970b","@corporate/core@9999.9999.0","no","malicious","Yes","No","No","Yes","","","","","","","","","","","","","","","","","",""
"@edx/frontend-app-gradebook","1.4.31","eb9c58c36c4eaaea927afca7435d53ee","@edx/frontend-app-gradebook@1.4.31","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"@elchetz/cld","2.7.1-prebuild.1","e8a993deb17a53c7ed2142c34d222854","@elchetz/cld@2.7.1-prebuild.1","no","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"@itentialopensource/adapter-microsoft_office365","0.1.1","ebccf45df777deb0a33dea6270bed231","@itentialopensource/adapter-microsoft_office365@0.1.1","no","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"@jokycn/test-package-joky","1.0.0","487e4432d2146fa210e1c6f3c0a44077","@jokycn/test-package-joky@1.0.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"@startdt/spreadsheet","1.1.8","6837c5e56ba8cd684ad3b06b2797832a","@startdt/spreadsheet@1.1.8","no","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"@tech-grasp/common","1.0.13","6f6eebeaf0ece0e2c78bb38dba3c0d65","@tech-grasp/common@1.0.13","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"@tingyun-common/cli","0.0.1","9d550f288bfa8ad7d9924541f6d18214","@tingyun-common/cli@0.0.1","no","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"@tuimao/utils","2.0.1","f0de94ef5f7c084d5674edd4d4fba39a","@tuimao/utils@2.0.1","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"aarondm-test-package-1","2.0.0-canary.0","2c9e3ffee4b31425bba9d92f287ad48e","aarondm-test-package-1@2.0.0-canary.0","no","benign","Yes","No","Yes","No","","","","","","","","","","","","","","","","","",""
"akainu-onpiece","1.0.5","1b6ea8d32c96b7b4d06da19ea0afeeea","akainu-onpiece@1.0.5","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"axis-components","999.999.2","f6bcf890bc12b1c98df02efc15430fe9","axis-components@999.999.2","no","malicious","Yes","Yes","No","No","","","","","","","","","","","","","","","","","",""
"fe-lib-pk10-node","1.0.20","38ca1a2e16ac858196232f1affefae5d","fe-lib-pk10-node@1.0.20","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"galaxy-mars","1.0.0","194e6f16af15bbfe4fd007a4dbc3c79d","galaxy-mars@1.0.0","no","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"guang-php-teacher2","4.0.0","c10a41c0c9d2f1564f112c743acd901c","guang-php-teacher2@4.0.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"instagramclone","1.0.0","9a6094e377c6035dc28c14da1a7b5feb","instagramclone@1.0.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"justs","0.0.53","N/A","justs@0.0.53","no","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"klb-component","1.0.0","81c3efb330e6748ce7db9bca71581f5f","klb-component@1.0.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
